#,Full Name,FullTeamName,Pos.,Ht.,Year,Hometown,userteam,FantasyPts_sum,FantasyPts_mean,rank_pos,rank_global,GP,MIN_mean,PTS_mean,REB_mean,AST_mean,STL_mean,BLK_mean,3PM_mean,3PA_mean,FTM_mean,TO_mean,FGM_mean,FGA_mean,OREB_sum,OREB_mean,DREB_sum,DREB_mean,MIN_sum,PTS_sum,REB_sum,AST_sum,STL_sum,BLK_sum,TO_sum,FGM_sum,FGA_sum,3PM_sum,3PA_sum,FTM_sum,FTA_sum,FTA_mean,Previous School,clean_name,ImageURL
25,Lauren Glazier,Washington State Cougars,F,6-4,Sr.,"North Bend, Wash.",FreeAgent,0.0,0.0,46.0,144.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Mount Si HS,lauren glazier,https://d1gp0cqcpext3x.cloudfront.net/images/2025/10/9/Glazier__Lauren.png?width=80&quality=90
33,Alex Covill,Washington State Cougars,C,6-6,Jr.,"Missoula, Mont.",UserTeam4,10.0,5.0,6.0,115.5,2.0,20.0,4.0,4.0,1.0,0.0,1.5,0.0,0.0,0.0,4.5,2.0,5.5,5.0,2.5,3.0,1.5,40.0,8.0,8.0,2.0,0.0,3.0,9.0,4.0,11.0,0.0,0.0,0.0,0.0,0.0,Missoula Hellgate HS,alex covill,https://d1gp0cqcpext3x.cloudfront.net/images/2025/10/9/Covill__Alex.png?width=80&quality=90
55,Malia Ruud,Washington State Cougars,F,6-2,Fr.,"Pasco, Wash.",UserTeam5,60.0,15.0,12.5,37.0,4.0,25.25,9.5,3.5,0.5,0.5,1.0,0.5,1.5,0.5,2.25,4.25,7.5,8.0,2.0,6.0,1.5,101.0,38.0,14.0,2.0,2.0,4.0,9.0,17.0,30.0,2.0,6.0,2.0,4.0,1.0,Chiawana HS,malia ruud,https://d1gp0cqcpext3x.cloudfront.net/images/2025/10/9/Ruud__Malia.png?width=80&quality=90
0,Goundo Diakite Bayo,Portland Pilots,F,6-1,Fr.,"Barcelona, Spain",FreeAgent,0.0,0.0,46.0,144.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,IES Carles Vallbona,goundo diakite bayo,https://portlandpilots.com/images/2025/10/15/Diakite_Goundoba26web.JPG?width=80&quality=90
2,Dyani Ananiev,Portland Pilots,G,6-2,R-So.,"St. Andrews, Australia",FreeAgent,94.0,31.33,5.0,9.0,3.0,18.0,9.67,2.67,2.33,4.33,0.33,1.67,4.33,0.67,3.0,3.67,7.0,3.0,1.0,5.0,1.67,54.0,29.0,8.0,7.0,13.0,1.0,9.0,11.0,21.0,5.0,13.0,2.0,3.0,1.0,Wyndham,dyani ananiev,https://portlandpilots.com/images/2025/10/15/Ananiev_Dyani26web.JPG?width=80&quality=90
3,Florence Dallow,Portland Pilots,G,6-2,R-So.,"Auckland, New Zealand",UserTeam2,81.0,27.0,10.0,15.0,3.0,16.33,13.67,2.67,1.67,1.33,0.0,1.0,2.33,3.33,0.67,4.67,7.67,3.0,1.0,5.0,1.67,49.0,41.0,8.0,5.0,4.0,0.0,2.0,14.0,23.0,3.0,7.0,10.0,11.0,3.67,Epsom Girls Grammar School,florence dallow,https://portlandpilots.com/images/2025/10/15/Dallow_Florence26web.JPG?width=80&quality=90
5,Aubrey Herrin,Portland Pilots,G,6-1,Fr.,"Kennewick, WA",FreeAgent,77.0,25.67,11.5,17.5,3.0,18.0,6.0,4.67,2.0,1.33,1.33,0.33,0.33,1.0,1.33,2.33,3.33,3.0,1.0,11.0,3.67,54.0,18.0,14.0,6.0,4.0,4.0,4.0,7.0,10.0,1.0,1.0,3.0,3.0,1.0,Kamiakin HS,aubrey herrin,https://portlandpilots.com/images/2025/10/15/Herrin_Aubrey26web.JPG?width=80&quality=90
7,Tiffany Barbosa,Portland Pilots,G,5-10,So.,"Stockholm, Sweden",FreeAgent,41.0,13.67,43.5,63.0,3.0,17.0,6.67,1.33,1.33,1.0,0.0,1.0,2.67,1.0,1.33,2.33,4.0,1.0,0.33,3.0,1.0,51.0,20.0,4.0,4.0,3.0,0.0,4.0,7.0,12.0,3.0,8.0,3.0,4.0,1.33,RIG Lulea,tiffany barbosa,https://portlandpilots.com/images/2025/10/15/Barbosa_Tiffany26web.jpg?width=80&quality=90
9,Jada Kennedy,Portland Pilots,C,6-5,Fr.,"Melbourne, Australia",FreeAgent,46.0,15.33,2.0,59.0,3.0,10.33,4.67,4.33,0.67,0.0,1.0,0.0,0.0,0.0,0.67,2.33,2.67,4.0,1.33,9.0,3.0,31.0,14.0,13.0,2.0,0.0,3.0,2.0,7.0,8.0,0.0,0.0,0.0,0.0,0.0,Siena College,jada kennedy,https://portlandpilots.com/images/2025/10/15/Kennedy_Jada26web.JPG?width=80&quality=90
10,Natalie Fraley,Portland Pilots,G,6-0,Sr.,"Kelso, WA",UserTeam2,51.0,17.0,36.0,51.0,3.0,20.67,6.67,2.33,2.0,1.67,0.33,1.33,3.33,0.67,2.33,2.33,5.67,1.0,0.33,6.0,2.0,62.0,20.0,7.0,6.0,5.0,1.0,7.0,7.0,17.0,4.0,10.0,2.0,2.0,0.67,Utah State / Kelso HS,natalie fraley,https://portlandpilots.com/images/2025/10/15/Fraley_Natalie26web.JPG?width=80&quality=90
