Name,Jersey #,Team,Opponent,didWin,Date,MIN,OREB,DREB,REB,AST,STL,BLK,TO,PF,FGM,FGA,3PM,3PA,FTM,FTA,PTS,FantasyPts,isWCC
Zeryhia Aokuso,#55,Gonzaga Bulldogs,Indiana Hoosiers,0,11/28/25,21,1,2,3,2,2,0,1,1,1,12,0,3,1,2,3,4,True
Allie Turner,#11,Gonzaga Bulldogs,Indiana Hoosiers,0,11/28/25,31,0,2,2,2,0,1,3,4,7,14,4,7,3,4,21,26,True
Ines Bettencourt,#8,Gonzaga Bulldogs,Indiana Hoosiers,0,11/28/25,28,0,2,2,5,1,0,1,4,1,2,1,2,0,0,3,22,True
Jaiden Haile,#23,Gonzaga Bulldogs,Indiana Hoosiers,0,11/28/25,24,7,2,9,4,0,0,0,1,4,8,0,0,2,3,10,30,True
McKynnlie Dalan,#22,Gonzaga Bulldogs,Indiana Hoosiers,0,11/28/25,6,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,True
Julia Wilson,#3,Gonzaga Bulldogs,Indiana Hoosiers,0,11/28/25,17,0,1,1,0,0,0,1,3,1,1,0,0,0,0,2,2,True
Teryn Gardner,#24,Gonzaga Bulldogs,Indiana Hoosiers,0,11/28/25,21,2,1,3,0,1,0,0,1,1,4,0,1,0,0,2,6,True
Christabel Osarobo,#12,Gonzaga Bulldogs,Indiana Hoosiers,0,11/28/25,1,1,0,1,0,0,0,1,2,0,0,0,0,0,0,0,-1,True
Gracie Kelsey,#33,Lindenwood Lions,Santa Clara Broncos,0,11/28/25,18,1,1,2,0,0,0,1,2,1,6,0,1,3,4,5,-1,False
Aleshia Jones,#2,Lindenwood Lions,Santa Clara Broncos,0,11/28/25,27,2,3,5,2,1,0,0,1,8,15,4,7,5,6,25,41,False
Ellie Brueggemann,#4,Lindenwood Lions,Santa Clara Broncos,0,11/28/25,29,0,4,4,1,0,1,1,1,4,13,3,8,1,2,12,12,False
Brooke Coffey,#12,Lindenwood Lions,Santa Clara Broncos,0,11/28/25,26,1,7,8,0,1,1,4,1,4,11,0,3,3,4,11,11,False
Gracy Wernli,#3,Lindenwood Lions,Santa Clara Broncos,0,11/28/25,29,2,2,4,3,1,0,0,0,2,4,1,3,3,4,8,23,False
Anna McCarn,#21,Lindenwood Lions,Santa Clara Broncos,0,11/28/25,9,0,0,0,2,2,0,0,0,0,1,0,0,0,0,0,13,False
Noah Garcia,#27,Lindenwood Lions,Santa Clara Broncos,0,11/28/25,6,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,-3,False
Alyssa Nielsen,#15,Lindenwood Lions,Santa Clara Broncos,0,11/28/25,20,0,1,1,0,0,0,0,0,1,3,0,1,0,0,2,1,False
Valerie Norwood,#1,Lindenwood Lions,Santa Clara Broncos,0,11/28/25,4,0,0,0,0,0,0,1,3,0,3,0,0,0,0,0,-5,False
Mya Skoff,#22,Lindenwood Lions,Santa Clara Broncos,0,11/28/25,25,0,4,4,3,0,0,1,3,2,3,2,2,1,2,7,20,False
Aalayah Wilson,#5,Lindenwood Lions,Santa Clara Broncos,0,11/28/25,3,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,-2,False
Konstantina Mantziori,#7,Lindenwood Lions,Santa Clara Broncos,0,11/28/25,4,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,False
Ava Schmidt,#13,Santa Clara Broncos,Lindenwood Lions,1,11/28/25,24,3,9,12,1,0,3,1,1,4,12,1,4,0,0,9,26,True
Kylee Fox,#30,Santa Clara Broncos,Lindenwood Lions,1,11/28/25,27,0,1,1,1,1,1,0,2,3,11,3,7,0,0,9,15,True
Sophie Glancey,#12,Santa Clara Broncos,Lindenwood Lions,1,11/28/25,26,2,4,6,0,1,1,3,3,10,12,0,1,4,4,24,39,True
Ashley Hawkins,#23,Santa Clara Broncos,Lindenwood Lions,1,11/28/25,27,0,3,3,5,1,0,3,2,3,8,2,4,2,2,10,25,True
Maia Jones,#9,Santa Clara Broncos,Lindenwood Lions,1,11/28/25,24,2,3,5,3,1,0,3,4,1,6,0,4,4,4,6,11,True
Tyler Gildersleeve-Stiles,#34,Santa Clara Broncos,Lindenwood Lions,1,11/28/25,13,3,4,7,0,0,0,0,2,4,7,0,0,0,1,8,16,True
Lauren Grover,#10,Santa Clara Broncos,Lindenwood Lions,1,11/28/25,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,2,4,True
Alana Goodchild,#11,Santa Clara Broncos,Lindenwood Lions,1,11/28/25,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,True
Delainey Miller,#20,Santa Clara Broncos,Lindenwood Lions,1,11/28/25,18,1,5,6,3,0,0,0,3,1,4,0,1,0,0,2,15,True
Sienna Grieger,#6,Santa Clara Broncos,Lindenwood Lions,1,11/28/25,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,True
Kate Schat,#3,Santa Clara Broncos,Lindenwood Lions,1,11/28/25,10,0,0,0,1,0,0,0,1,1,4,0,3,0,0,2,1,True
Aniya Hooker,#2,Santa Clara Broncos,Lindenwood Lions,1,11/28/25,28,1,3,4,0,0,0,0,4,5,7,2,3,0,0,12,21,True
Ilse de Vries,#21,Miami (OH) RedHawks,Washington State Cougars,0,11/28/25,27,2,1,3,0,2,1,3,4,6,12,1,3,3,4,16,22,False
Amber Tretter,#15,Miami (OH) RedHawks,Washington State Cougars,0,11/28/25,35,6,9,15,4,3,1,1,4,5,7,2,2,1,2,13,57,False
Tamar Singer,#13,Miami (OH) RedHawks,Washington State Cougars,0,11/28/25,39,0,6,6,6,0,0,2,0,2,8,1,1,0,0,5,22,False
Nuria Jurjo,#17,Miami (OH) RedHawks,Washington State Cougars,0,11/28/25,28,2,2,4,4,2,0,3,4,1,1,0,0,0,0,2,21,False
Amber Scalia,#1,Miami (OH) RedHawks,Washington State Cougars,0,11/28/25,38,0,0,0,2,1,0,2,1,4,17,0,8,5,5,13,2,False
Brooke Blumenfeld,#41,Miami (OH) RedHawks,Washington State Cougars,0,11/28/25,5,0,1,1,0,0,0,1,0,1,1,0,0,2,2,4,4,False
Mio Sakano,#30,Miami (OH) RedHawks,Washington State Cougars,0,11/28/25,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,-2,False
Clara Gonzalez Planella,#7,Miami (OH) RedHawks,Washington State Cougars,0,11/28/25,7,0,1,1,0,0,0,1,0,2,4,1,2,0,0,5,4,False
Macie Taylor,#10,Miami (OH) RedHawks,Washington State Cougars,0,11/28/25,20,0,2,2,0,1,0,2,1,3,6,2,3,1,2,9,11,False
Malia Ruud,#55,Washington State Cougars,Miami (OH) RedHawks,1,11/28/25,29,5,2,7,1,0,1,0,3,2,6,0,1,2,4,6,15,True
Tanja Valancic,#9,Washington State Cougars,Miami (OH) RedHawks,1,11/28/25,28,0,4,4,1,1,0,2,1,4,9,0,3,0,0,8,12,True
Charlotte Abraham,#10,Washington State Cougars,Miami (OH) RedHawks,1,11/28/25,24,2,5,7,0,1,0,1,4,5,6,2,3,6,6,18,33,True
Mackenzie Chatfield,#8,Washington State Cougars,Miami (OH) RedHawks,1,11/28/25,27,0,2,2,1,0,0,3,3,0,4,0,0,6,6,6,2,True
Eleonora Villa,#2,Washington State Cougars,Miami (OH) RedHawks,1,11/28/25,37,0,4,4,3,1,1,2,1,10,17,4,8,1,2,25,44,True
Malvina Haziri,#1,Washington State Cougars,Miami (OH) RedHawks,1,11/28/25,13,0,2,2,5,0,0,2,0,1,1,0,0,0,0,2,17,True
Keandra Koorits,#15,Washington State Cougars,Miami (OH) RedHawks,1,11/28/25,14,2,1,3,1,0,0,1,2,3,9,0,4,0,1,6,3,True
Marta Alsina,#12,Washington State Cougars,Miami (OH) RedHawks,1,11/28/25,23,0,6,6,4,1,0,2,1,0,4,0,2,0,0,0,13,True
Jean Chiu,#5,Washington State Cougars,Miami (OH) RedHawks,1,11/28/25,5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,-1,True
Jorey Buwalda,#32,Milwaukee Panthers,Pacific Tigers,0,11/28/25,21,4,2,6,1,0,1,1,1,4,10,0,1,1,2,9,15,False
Micayla Silas,#13,Milwaukee Panthers,Pacific Tigers,0,11/28/25,8,0,0,0,1,0,0,0,3,0,3,0,2,0,0,0,-2,False
Grace Lomen,#52,Milwaukee Panthers,Pacific Tigers,0,11/28/25,16,0,1,1,0,0,0,2,1,0,4,0,2,2,2,2,-7,False
Payton Rechlicz,#5,Milwaukee Panthers,Pacific Tigers,0,11/28/25,26,0,0,0,0,0,0,2,3,1,3,1,3,0,0,3,-3,False
Jada Williams,#2,Milwaukee Panthers,Pacific Tigers,0,11/28/25,19,0,2,2,0,0,1,0,2,0,3,0,1,2,4,2,1,False
Izzy Pugh,#11,Milwaukee Panthers,Pacific Tigers,0,11/28/25,15,3,1,4,0,1,1,1,3,1,5,0,1,4,4,6,11,False
Cece McNair,#45,Milwaukee Panthers,Pacific Tigers,0,11/28/25,6,1,0,1,1,1,0,1,1,0,0,0,0,0,2,0,4,False
Rita Gomes,#16,Milwaukee Panthers,Pacific Tigers,0,11/28/25,17,0,2,2,1,0,0,0,1,1,4,0,2,0,0,2,3,False
Madison Fitzgibbon,#14,Milwaukee Panthers,Pacific Tigers,0,11/28/25,8,0,1,1,0,0,0,1,0,0,2,0,2,0,0,0,-5,False
Tierney Madigan,#00,Milwaukee Panthers,Pacific Tigers,0,11/28/25,18,0,2,2,1,0,0,1,0,4,4,0,0,2,4,10,15,False
Kendall Barnes,#1,Milwaukee Panthers,Pacific Tigers,0,11/28/25,9,0,1,1,1,1,0,1,2,1,2,0,0,1,1,3,9,False
Valerie Cassidy-De Falco,#24,Milwaukee Panthers,Pacific Tigers,0,11/28/25,21,0,1,1,1,4,0,2,1,1,3,0,1,2,2,4,18,False
Sophia Rampulla,#30,Milwaukee Panthers,Pacific Tigers,0,11/28/25,16,0,0,0,0,2,0,2,1,3,7,1,2,0,0,7,10,False
Winner Bartholomew,#25,Pacific Tigers,Milwaukee Panthers,1,11/28/25,17,4,3,7,1,0,0,0,3,5,8,0,0,7,8,17,29,True
Liv Yergensen,#7,Pacific Tigers,Milwaukee Panthers,1,11/28/25,19,1,1,2,3,1,1,3,1,0,1,0,1,0,0,0,11,True
Daria Nestorov,#21,Pacific Tigers,Milwaukee Panthers,1,11/28/25,16,0,1,1,4,0,0,1,3,3,6,2,3,0,0,8,21,True
Stella Szabo,#5,Pacific Tigers,Milwaukee Panthers,1,11/28/25,16,0,0,0,2,1,0,0,1,0,1,0,1,0,0,0,9,True
Sydney Ward,#10,Pacific Tigers,Milwaukee Panthers,1,11/28/25,26,3,2,5,1,1,1,2,2,4,7,1,2,7,7,16,29,True
LaMiracle Lebon,#24,Pacific Tigers,Milwaukee Panthers,1,11/28/25,9,1,0,1,1,1,0,1,2,0,1,0,0,0,0,0,6,True
Tyla Fautua,#32,Pacific Tigers,Milwaukee Panthers,1,11/28/25,7,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,True
Luisa Anderegg,#11,Pacific Tigers,Milwaukee Panthers,1,11/28/25,12,0,1,1,0,0,0,1,3,4,5,2,3,0,0,10,14,True
Sophia Mindermann,#8,Pacific Tigers,Milwaukee Panthers,1,11/28/25,20,0,3,3,1,3,0,0,1,3,9,3,9,0,0,9,22,True
Hannah Burg,#3,Pacific Tigers,Milwaukee Panthers,1,11/28/25,19,1,2,3,2,0,0,2,2,1,5,1,4,2,2,5,6,True
Mali Ennis,#2,Pacific Tigers,Milwaukee Panthers,1,11/28/25,6,0,0,0,0,0,0,0,0,2,3,0,0,0,0,4,6,True
Marina Radocaj,#9,Pacific Tigers,Milwaukee Panthers,1,11/28/25,9,0,1,1,1,0,1,1,2,0,0,0,0,0,0,0,6,True
Kenlee Durrill,#23,Pacific Tigers,Milwaukee Panthers,1,11/28/25,9,0,1,1,1,0,0,1,1,0,2,0,1,2,2,2,2,True
Nyah Lowery,#15,Pacific Tigers,Milwaukee Panthers,1,11/28/25,15,1,3,4,2,0,0,1,3,2,5,2,4,0,0,6,14,True
Malia Ruud,#55,Washington State Cougars,LSU Tigers,0,11/29/25,25,1,1,2,2,1,0,3,4,2,5,0,1,0,2,4,6,True
Tanja Valancic,#9,Washington State Cougars,LSU Tigers,0,11/29/25,14,0,1,1,1,0,0,3,4,0,1,0,1,0,0,0,-4,True
Charlotte Abraham,#10,Washington State Cougars,LSU Tigers,0,11/29/25,19,1,1,2,0,1,0,3,5,4,11,2,8,0,0,10,3,True
Mackenzie Chatfield,#8,Washington State Cougars,LSU Tigers,0,11/29/25,30,0,2,2,2,1,0,4,1,0,2,0,0,0,0,0,2,True
Eleonora Villa,#2,Washington State Cougars,LSU Tigers,0,11/29/25,29,0,0,0,1,2,0,3,1,3,10,1,4,1,1,8,7,True
Malvina Haziri,#1,Washington State Cougars,LSU Tigers,0,11/29/25,24,0,2,2,0,0,0,3,4,3,8,3,7,0,0,9,2,True
Keandra Koorits,#15,Washington State Cougars,LSU Tigers,0,11/29/25,19,0,0,0,0,1,1,2,4,1,8,0,5,0,0,2,-6,True
Marta Alsina,#12,Washington State Cougars,LSU Tigers,0,11/29/25,21,0,0,0,5,1,0,7,1,0,1,0,1,2,2,2,5,True
Jean Chiu,#5,Washington State Cougars,LSU Tigers,0,11/29/25,19,0,1,1,2,1,0,2,0,0,2,0,1,0,0,0,4,True
Amiya Joyner,#1,LSU Tigers,Washington State Cougars,1,11/29/25,20,7,5,12,2,1,1,1,1,3,5,0,0,6,7,12,36,False
ZaKiyah Johnson,#11,LSU Tigers,Washington State Cougars,1,11/29/25,16,3,1,4,0,0,0,1,1,5,9,0,0,2,4,12,14,False
Jada Richard,#30,LSU Tigers,Washington State Cougars,1,11/29/25,24,0,3,3,1,2,0,2,1,5,8,4,4,0,0,14,31,False
Mikaylah Williams,#12,LSU Tigers,Washington State Cougars,1,11/29/25,22,1,4,5,2,0,0,1,0,5,9,0,1,2,2,12,22,False
Flau'jae Johnson,#4,LSU Tigers,Washington State Cougars,1,11/29/25,22,1,4,5,2,2,0,2,0,6,10,1,2,3,4,16,33,False
Meghan Yarnevich,#15,LSU Tigers,Washington State Cougars,1,11/29/25,7,1,0,1,0,1,0,0,0,1,1,0,0,2,5,4,8,False
Grace Knox,#2,LSU Tigers,Washington State Cougars,1,11/29/25,20,4,3,7,1,3,0,1,2,3,4,0,0,6,6,12,35,False
Kate Koval,#13,LSU Tigers,Washington State Cougars,1,11/29/25,17,0,4,4,2,1,1,1,1,2,3,0,0,0,0,4,21,False
Divine Bourrage,#6,LSU Tigers,Washington State Cougars,1,11/29/25,16,1,4,5,0,1,0,3,0,2,4,2,2,0,0,6,12,False
Bella Hines,#3,LSU Tigers,Washington State Cougars,1,11/29/25,16,0,0,0,0,2,0,1,1,3,6,2,3,0,0,8,16,False
MiLaysia Fulwiley,#23,LSU Tigers,Washington State Cougars,1,11/29/25,20,0,0,0,5,4,0,2,1,5,12,0,4,2,3,12,33,False
Carys Baker,#10,Virginia Tech Hokies,Oregon State Beavers,1,11/29/25,36,2,5,7,2,0,0,0,0,8,13,3,4,1,2,20,38,False
Kilah Freelon,#0,Virginia Tech Hokies,Oregon State Beavers,1,11/29/25,24,2,5,7,1,0,2,2,4,2,6,0,1,2,2,6,16,False
Mackenzie Nelson,#3,Virginia Tech Hokies,Oregon State Beavers,1,11/29/25,32,0,6,6,6,0,0,1,3,3,7,1,4,2,2,9,29,False
