#,Full Name,FullTeamName,Pos.,Ht.,Year,Hometown,userteam,FantasyPts_sum,FantasyPts_mean,rank_pos,rank_global,GP,MIN_mean,PTS_mean,efg%,REB_mean,AST_mean,STL_mean,BLK_mean,3PM_mean,3PA_mean,FTM_mean,TO_mean,FGM_mean,FGA_mean,OREB_sum,OREB_mean,DREB_sum,DREB_mean,MIN_sum,PTS_sum,REB_sum,AST_sum,STL_sum,BLK_sum,TO_sum,FGM_sum,FGA_sum,3PM_sum,3PA_sum,FTM_sum,FTA_sum,FTA_mean,didWin_sum,Previous School,clean_name,ImageURL
31,Irune Orio,Pepperdine Waves,F,6-2,Sr.,"Balmaseda, Spain",UserTeam4,78.0,5.57,32.0,108.0,14.0,12.21,2.5,0.298,2.36,0.93,0.07,0.14,0.07,1.36,0.71,0.86,0.86,3.0,8.0,0.57,25.0,1.79,171.0,35.0,33.0,13.0,1.0,2.0,12.0,12.0,42.0,1.0,19.0,10.0,11.0,0.79,10.0,Sacramento State / Xavier,irune orio,https://daitadul56i2n.cloudfront.net/images/2025/9/26/31_irune.jpg?width=80&quality=90
44,Zoe Shanahan,Pepperdine Waves,F,6-2,Fr.,"Melbourne, Australia",FreeAgent,19.0,2.11,44.0,138.0,9.0,4.78,1.56,0.5,0.78,0.44,0.11,0.0,0.0,0.11,0.44,1.33,0.56,1.11,3.0,0.33,4.0,0.44,43.0,14.0,7.0,4.0,1.0,0.0,12.0,5.0,10.0,0.0,1.0,4.0,4.0,0.44,6.0,,zoe shanahan,https://daitadul56i2n.cloudfront.net/images/2025/9/26/44_Zoe.jpg?width=80&quality=90
1,Paige Lofing,Gonzaga Bulldogs,G,5-9,Fr.,"Billings, MT",FreeAgent,29.0,2.23,82.5,130.0,13.0,5.0,1.38,0.5,0.46,0.15,0.08,0.08,0.38,0.85,0.23,0.62,0.38,1.15,0.0,0.0,6.0,0.46,65.0,18.0,6.0,2.0,1.0,1.0,8.0,5.0,15.0,5.0,11.0,3.0,4.0,0.31,10.0,,paige lofing,https://d2jpxbzntgxotn.cloudfront.net/images/2025/9/10/paige_lofing-2059.JPG?width=80&quality=90
2,Vera Gunaydin,Gonzaga Bulldogs,G,5-9,Sr.,"Ankara, Turkey",FreeAgent,0.0,0.0,94.0,153.5,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,South Georgia Tech,vera gunaydin,https://d2jpxbzntgxotn.cloudfront.net/images/2025/9/10/vera_gunaydin-7778.JPG?width=80&quality=90
3,Julia Wilson,Gonzaga Bulldogs,G,5-10,Fr.,"Temecula, CA",FreeAgent,151.0,8.88,55.0,84.0,17.0,13.06,2.41,0.415,1.41,1.29,0.41,0.18,0.24,0.59,0.41,0.65,0.88,2.41,4.0,0.24,20.0,1.18,222.0,41.0,24.0,22.0,7.0,3.0,11.0,15.0,41.0,4.0,10.0,7.0,13.0,0.76,11.0,Rancho Christian HS,julia wilson,https://d2jpxbzntgxotn.cloudfront.net/images/2025/9/10/julia_wilson-7070.JPG?width=80&quality=90
4,Sierra Lichtie,Gonzaga Bulldogs,F,6-0,Gr.,"Riverton, UT",FreeAgent,20.0,3.33,42.5,136.5,6.0,5.5,0.83,0.667,1.33,0.33,0.33,0.0,0.0,0.17,0.17,0.83,0.33,0.5,1.0,0.17,7.0,1.17,33.0,5.0,8.0,2.0,2.0,0.0,5.0,2.0,3.0,0.0,1.0,1.0,2.0,0.33,3.0,Cal Poly,sierra lichtie,https://d2jpxbzntgxotn.cloudfront.net/images/2025/9/10/sierra_lichtie-8103.JPG?width=80&quality=90
8,Ines Bettencourt,Gonzaga Bulldogs,G,5-9,Sr.,"Sao Miguel, Portugal",UserTeam1,265.0,16.56,30.0,47.0,16.0,27.12,5.5,0.363,3.56,2.81,1.25,0.25,0.75,2.12,0.88,2.5,1.94,6.38,14.0,0.88,43.0,2.69,434.0,88.0,57.0,45.0,20.0,4.0,40.0,31.0,102.0,12.0,34.0,14.0,20.0,1.25,10.0,UConn,ines bettencourt,https://d2jpxbzntgxotn.cloudfront.net/images/2025/9/10/ines_bettencourt-6446.JPG?width=80&quality=90
11,Allie Turner,Gonzaga Bulldogs,G,5-8,So.,"St. Louis, MO",UserTeam1,527.0,31.0,3.0,5.0,17.0,34.18,15.06,0.586,2.18,3.94,0.47,0.24,2.71,6.06,1.88,2.88,5.24,11.24,3.0,0.18,34.0,2.0,581.0,256.0,37.0,67.0,8.0,4.0,49.0,89.0,191.0,46.0,103.0,32.0,34.0,2.0,11.0,John Burroughs HS,allie turner,https://d2jpxbzntgxotn.cloudfront.net/images/2025/9/10/new_allie_pic.JPG?width=80&quality=90
12,Christabel Osarobo,Gonzaga Bulldogs,G,5-11,So.,"Tudela, Spain",FreeAgent,29.0,2.07,82.5,130.0,14.0,4.07,0.64,0.4,0.71,0.36,0.14,0.0,0.0,0.21,0.07,0.5,0.29,0.71,4.0,0.29,6.0,0.43,57.0,9.0,10.0,5.0,2.0,0.0,7.0,4.0,10.0,0.0,3.0,1.0,2.0,0.14,9.0,Ipswich Basketball Academy,christabel osarobo,https://d2jpxbzntgxotn.cloudfront.net/images/2025/9/10/christabel_osarobo-7880-3.JPG?width=80&quality=90
20,Taylor Smith,Gonzaga Bulldogs,F,6-2,Jr.,"Pocatello, ID",UserTeam2,352.0,20.71,11.0,29.0,17.0,24.94,5.35,0.447,3.76,3.0,1.18,0.59,0.0,0.65,0.41,2.24,2.47,5.53,18.0,1.06,46.0,2.71,424.0,91.0,64.0,51.0,20.0,10.0,38.0,42.0,94.0,0.0,11.0,7.0,11.0,0.65,11.0,Weber State,taylor smith,https://d2jpxbzntgxotn.cloudfront.net/images/2025/9/10/taylor_smith-1502.JPG?width=80&quality=90
