#,Full Name,FullTeamName,Pos.,Ht.,Year,Hometown,userteam,FantasyPts_sum,FantasyPts_mean,rank_pos,rank_global,GP,MIN_mean,PTS_mean,efg%,REB_mean,AST_mean,STL_mean,BLK_mean,3PM_mean,3PA_mean,FTM_mean,TO_mean,FGM_mean,FGA_mean,OREB_sum,OREB_mean,DREB_sum,DREB_mean,MIN_sum,PTS_sum,REB_sum,AST_sum,STL_sum,BLK_sum,TO_sum,FGM_sum,FGA_sum,3PM_sum,3PA_sum,FTM_sum,FTA_sum,FTA_mean,didWin_sum,Previous School,clean_name,ImageURL
35,Camille Dake,Portland Pilots,G,6-0,Fr.,"Vista, CA",UserTeam2,0.0,0.0,91.5,151.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Rancho Buena Vista HS,camille dake,https://portlandpilots.com/images/2025/10/15/Dake_Camille26web.jpg?width=80&quality=90
42,Ella Zimmerman,Portland Pilots,F/C,6-4,So.,"Redondo Beach, CA",FreeAgent,93.0,7.75,1.0,95.0,12.0,9.17,3.0,0.405,2.0,0.08,0.08,0.58,0.0,0.08,0.5,0.42,1.25,3.08,9.0,0.75,15.0,1.25,110.0,36.0,24.0,1.0,1.0,7.0,5.0,15.0,37.0,0.0,1.0,6.0,8.0,0.67,6.0,Redondo Union HS,ella zimmerman,https://portlandpilots.com/images/2025/10/15/Zimmerman_Ella26web.JPG?width=80&quality=90
44,Julia Dalan,Portland Pilots,C/F,6-3,Fr.,"Centralia, WA",UserTeam5,309.0,25.75,1.0,21.5,12.0,20.17,7.58,0.407,5.33,0.42,0.25,3.33,0.0,0.25,1.42,1.33,3.08,7.58,25.0,2.08,39.0,3.25,242.0,91.0,64.0,5.0,3.0,40.0,16.0,37.0,91.0,0.0,3.0,17.0,20.0,1.67,6.0,W.F. West HS,julia dalan,https://portlandpilots.com/images/2025/10/15/Dalan_Julia26web.JPG?width=80&quality=90
0,Ysabella Von Seipler,San Diego Toreros,G,5-10,Fr.,"Rocklin, CA",FreeAgent,101.0,16.83,60.0,92.0,6.0,14.5,6.17,0.621,3.17,1.0,0.67,0.0,1.33,2.5,0.17,0.5,2.33,4.83,7.0,1.17,12.0,2.0,87.0,37.0,19.0,6.0,4.0,0.0,3.0,14.0,29.0,8.0,15.0,1.0,4.0,0.67,3.0,,ysabella von seipler,https://usdtoreros.com/images/2025/10/15/Ysabella_Von_Seipler_Head_Shot.png?width=300
1,Dresha Moore,San Diego Toreros,F,6-0,So.,"Hawthorne, CA",FreeAgent,69.0,5.75,31.5,106.5,12.0,15.5,2.58,0.333,3.67,0.58,0.25,0.42,0.17,0.67,0.25,1.75,1.08,3.5,11.0,0.92,33.0,2.75,186.0,31.0,44.0,7.0,3.0,5.0,21.0,13.0,42.0,2.0,8.0,3.0,5.0,0.42,5.0,,dresha moore,https://usdtoreros.com/images/2025/10/15/Dresha_Moore_Headshot.png?width=80&quality=90
2,Ryanne Bahnsen-Price,San Diego Toreros,F,6-0,Fr.,"Erie, CO",UserTeam1,0.0,0.0,49.0,151.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,ryanne bahnsen-price,https://usdtoreros.com/images/2025/10/15/Ryanne_Bahnsen-Price_Head_Shot.png?width=300
3,Lilly Amor,San Diego Toreros,G,5-11,So.,"Melbourne, Victoria, Australia",UserTeam5,109.0,8.38,59.0,90.0,13.0,19.15,3.31,0.489,1.0,1.08,0.77,0.08,0.85,2.62,0.0,0.85,1.23,3.38,1.0,0.08,12.0,0.92,249.0,43.0,13.0,14.0,10.0,1.0,11.0,16.0,44.0,11.0,34.0,0.0,2.0,0.15,6.0,,lilly amor,https://usdtoreros.com/images/2025/10/15/Ysabella_Von_Seipler_Head_Shot.png?width=80&quality=90
4,Jessica Ajayi,San Diego Toreros,G,5-10,Fr.,"Kent, WA",FreeAgent,41.0,6.83,74.0,118.0,6.0,10.67,2.17,0.261,2.0,1.33,0.67,0.17,0.33,2.17,0.17,0.67,0.83,3.83,3.0,0.5,9.0,1.5,64.0,13.0,12.0,8.0,4.0,1.0,4.0,5.0,23.0,2.0,13.0,1.0,2.0,0.33,3.0,,jessica ajayi,https://usdtoreros.com/images/2025/10/15/Jessica_Ajayi_Head_Shot.png?width=80&quality=90
5,Lauren McCall,San Diego Toreros,G,5-6,Jr.,"Boise, ID",UserTeam4,0.0,0.0,91.5,151.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,lauren mccall,https://usdtoreros.com/images/2025/10/15/Lauren_McCall_Head_Shot.png?width=80&quality=90
6,Kylie Ray,San Diego Toreros,G,5-8,So.,"La Crescenta, CA",UserTeam5,177.0,22.12,37.0,57.0,8.0,26.5,13.75,0.425,5.38,2.5,1.5,0.25,1.62,3.88,3.12,5.38,4.5,12.5,8.0,1.0,35.0,4.38,212.0,110.0,43.0,20.0,12.0,2.0,43.0,36.0,100.0,13.0,31.0,25.0,27.0,3.38,4.0,Utah,kylie ray,https://usdtoreros.com/images/2025/10/15/Kylie_Ray_Head_Shot.png?width=80&quality=90
10,Helen Holley,San Diego Toreros,F,6-1,So.,"Cleveland, OH",UserTeam6,122.0,9.38,20.0,80.0,13.0,20.0,2.85,0.289,4.62,0.54,1.08,0.69,0.15,0.92,0.85,1.92,0.92,3.46,29.0,2.23,31.0,2.38,260.0,37.0,60.0,7.0,14.0,9.0,25.0,12.0,45.0,2.0,12.0,11.0,21.0,1.62,6.0,Michigan State,helen holley,https://usdtoreros.com/images/2025/10/15/Helen_Holley_Head_Shot.png?width=80&quality=90
11,Malia Tharpe,San Diego Toreros,F,6-0,Jr.,"Cottesloe, Western Australia, Australia",FreeAgent,34.0,3.09,38.0,123.0,11.0,14.55,2.0,0.244,2.0,0.27,0.45,0.09,0.09,0.91,0.27,0.73,0.82,3.55,6.0,0.55,16.0,1.45,160.0,22.0,22.0,3.0,5.0,1.0,8.0,9.0,39.0,1.0,10.0,3.0,8.0,0.73,4.0,,malia tharpe,https://usdtoreros.com/images/2025/10/15/Malia_Tharpe_Head_Shot.png?width=80&quality=90
12,Erica Carr,San Diego Toreros,C,6-3,So.,"Grand Prairie, TX",FreeAgent,22.0,11.0,5.0,130.0,2.0,12.5,4.0,0.6,2.0,1.0,0.0,0.5,0.0,0.5,1.0,1.0,1.5,2.5,2.0,1.0,2.0,1.0,25.0,8.0,4.0,2.0,0.0,1.0,2.0,3.0,5.0,0.0,1.0,2.0,2.0,1.0,1.0,,erica carr,https://usdtoreros.com/images/2025/10/15/Erica_Carr_Headshot.png?width=80&quality=90
15,Eva Ruse,San Diego Toreros,F,6-2,So.,"North Vancouver, British Columbia, Canada",FreeAgent,159.0,12.23,17.0,64.5,13.0,15.38,4.92,0.5,4.69,0.31,0.54,0.62,0.08,0.31,1.31,1.54,1.77,3.62,28.0,2.15,33.0,2.54,200.0,64.0,61.0,4.0,7.0,8.0,20.0,23.0,47.0,1.0,4.0,17.0,32.0,2.46,6.0,,eva ruse,https://usdtoreros.com/images/2025/10/15/Eva_Ruse_Headshot.png?width=80&quality=90
19,Jayden Rhodes,San Diego Toreros,G,5-11,Sr.,"Keller, TX",UserTeam1,112.0,9.33,58.0,89.0,12.0,13.5,3.5,0.578,2.0,0.5,0.33,0.25,0.75,1.58,0.42,0.5,1.17,2.67,11.0,0.92,13.0,1.08,162.0,42.0,24.0,6.0,4.0,3.0,6.0,14.0,32.0,9.0,19.0,5.0,8.0,0.67,6.0,Morehead State,jayden rhodes,https://usdtoreros.com/images/2025/10/15/Jayden_Rhodes_Head_Shot.png?width=80&quality=90
20,Hallie Rhodes,San Diego Toreros,G,5-11,Sr.,"Keller, TX",FreeAgent,297.0,22.85,15.0,24.0,13.0,29.46,10.31,0.441,2.92,2.23,1.38,0.62,0.38,1.77,1.15,2.54,4.38,10.38,15.0,1.15,23.0,1.77,383.0,134.0,38.0,29.0,18.0,8.0,33.0,57.0,135.0,5.0,23.0,15.0,23.0,1.77,6.0,Morehead State,hallie rhodes,https://usdtoreros.com/images/2025/10/15/Hallie_Rhodes_Head_Shot.png?width=80&quality=90
22,Ayla Williams,San Diego Toreros,C,6-0,Fr.,"Las Vegas, NV",FreeAgent,224.0,17.23,1.0,39.0,13.0,18.0,5.08,0.405,7.31,0.54,0.54,1.08,0.0,0.0,2.77,1.23,1.15,2.85,42.0,3.23,53.0,4.08,234.0,66.0,95.0,7.0,7.0,14.0,16.0,15.0,37.0,0.0,0.0,36.0,58.0,4.46,6.0,,ayla williams,https://usdtoreros.com/images/2025/10/15/Ayla_Williams_Headshot.png?width=80&quality=90
24,Olivia Owens,San Diego Toreros,G,5-10,Fr.,"Columbus, OH",FreeAgent,210.0,16.15,29.0,45.5,13.0,29.08,9.77,0.343,4.38,2.31,1.69,0.08,1.31,4.85,1.85,3.54,3.31,11.54,15.0,1.15,42.0,3.23,378.0,127.0,57.0,30.0,22.0,1.0,46.0,43.0,150.0,17.0,63.0,24.0,30.0,2.31,6.0,,olivia owens,https://usdtoreros.com/images/2025/10/15/Olivia_Owens_Head_Shot.png?width=80&quality=90
