#,Full Name,FullTeamName,Pos.,Ht.,Year,Hometown,userteam,FantasyPts_sum,FantasyPts_mean,rank_pos,rank_global,GP,MIN_mean,PTS_mean,REB_mean,AST_mean,STL_mean,BLK_mean,3PM_mean,3PA_mean,FTM_mean,TO_mean,FGM_mean,FGA_mean,OREB_sum,OREB_mean,DREB_sum,DREB_mean,MIN_sum,PTS_sum,REB_sum,AST_sum,STL_sum,BLK_sum,TO_sum,FGM_sum,FGA_sum,3PM_sum,3PA_sum,FTM_sum,FTA_sum,FTA_mean,Previous School,clean_name,ImageURL
30,Catarina Ferreira,Oregon State Beavers,G,6-0,Gr.,"Sao Paulo, Brazil",FreeAgent,0.0,0.0,91.5,151.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,catarina ferreira,https://images.sidearmdev.com/crop?url=https%3A%2F%2Fdxbhsrqyrr690.cloudfront.net%2Fsidearm.nextgen.sites%2Foregonstate.sidearmsports.com%2Fimages%2F2024%2F10%2F2%2FWBB_Headshot-7.jpg&width=603&height=803&gravity=north&type=webp
31,Cloe Vecina,Oregon State Beavers,G,5-8,So.,"Vigo, Spain",FreeAgent,71.0,5.46,63.0,98.0,13.0,9.85,1.85,0.69,0.92,0.46,0.15,0.23,0.62,0.23,0.92,0.69,1.85,2.0,0.15,7.0,0.54,128.0,24.0,9.0,12.0,6.0,2.0,12.0,9.0,24.0,3.0,8.0,3.0,7.0,0.54,,cloe vecina,https://images.sidearmdev.com/crop?url=https%3A%2F%2Fdxbhsrqyrr690.cloudfront.net%2Fsidearm.nextgen.sites%2Foregonstate.sidearmsports.com%2Fimages%2F2024%2F10%2F2%2FWBB_Headshot-5.jpg&width=603&height=803&gravity=north&type=webp
32,Néné Sow,Oregon State Beavers,C,6-8,R-Sr.,"Brussels, Belgium",FreeAgent,182.0,14.0,2.0,46.0,13.0,14.85,4.0,6.08,0.15,0.38,1.08,0.0,0.0,0.46,1.08,1.77,2.62,20.0,1.54,59.0,4.54,193.0,52.0,79.0,2.0,5.0,14.0,14.0,23.0,34.0,0.0,0.0,6.0,15.0,1.15,,nene sow,https://images.sidearmdev.com/crop?url=https%3A%2F%2Fdxbhsrqyrr690.cloudfront.net%2Fsidearm.nextgen.sites%2Foregonstate.sidearmsports.com%2Fimages%2F2025%2F5%2F12%2F25WBB_Recruit_Ne_ne__Sow_0060.jpg&width=603&height=803&gravity=north&type=webp
0,Ivory Finley,Pepperdine Waves,G,5-10,Gr.,"Minneapolis, MN",FreeAgent,77.0,7.0,61.5,94.5,11.0,14.18,4.82,1.45,0.91,0.36,0.09,0.64,2.0,0.91,1.55,1.64,3.64,6.0,0.55,10.0,0.91,156.0,53.0,16.0,10.0,4.0,1.0,17.0,18.0,40.0,7.0,22.0,10.0,14.0,1.27,Utah State,ivory finley,https://daitadul56i2n.cloudfront.net/images/2025/9/26/0_ivory.jpg?width=80&quality=90
1,Taija Sta. Maria,Pepperdine Waves,G,5-6,Jr.,"Toronto, Ontario, Canada",UserTeam3,176.0,14.67,31.0,49.0,12.0,30.42,6.0,1.92,3.33,0.75,0.0,0.25,1.42,1.58,2.08,2.08,5.33,3.0,0.25,20.0,1.67,365.0,72.0,23.0,40.0,9.0,0.0,25.0,25.0,64.0,3.0,17.0,19.0,28.0,2.33,Fresno State,taija sta. maria,https://daitadul56i2n.cloudfront.net/images/2025/9/26/1_taija.jpg?width=80&quality=90
2,Ellison Guiney,Pepperdine Waves,G,5-11,So.,"Goodyear, AZ",UserTeam2,293.0,24.42,10.0,15.0,12.0,30.08,13.67,3.83,3.08,0.92,0.42,1.83,4.75,2.83,2.67,4.5,10.0,18.0,1.5,28.0,2.33,361.0,164.0,46.0,37.0,11.0,5.0,32.0,54.0,120.0,22.0,57.0,34.0,41.0,3.42,UNLV,ellison guiney,https://daitadul56i2n.cloudfront.net/images/2025/9/26/2_guiney.jpg?width=80&quality=90
3,Bella Green,Pepperdine Waves,G,6-0,Gr.,"Perth, Australia",UserTeam5,139.0,11.58,42.0,62.0,12.0,13.83,5.08,6.17,0.67,0.42,0.25,0.17,0.58,0.75,1.75,2.08,5.08,22.0,1.83,52.0,4.33,166.0,61.0,74.0,8.0,5.0,3.0,21.0,25.0,61.0,2.0,7.0,9.0,11.0,0.92,University of West Florida,bella green,https://daitadul56i2n.cloudfront.net/images/2025/9/26/3_green.jpg?width=80&quality=90
10,Ilinca Belegante,Pepperdine Waves,G,6-0,Fr.,"Bucharest, Romania",FreeAgent,-4.0,-0.67,99.0,161.0,6.0,2.0,0.33,0.0,0.0,0.0,0.0,0.0,0.5,0.33,0.33,0.0,0.5,0.0,0.0,0.0,0.0,12.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,3.0,0.0,3.0,2.0,3.0,0.5,,ilinca belegante,https://daitadul56i2n.cloudfront.net/images/2025/9/26/10_Ilinca.jpg?width=80&quality=90
11,Quinn VanSickle,Pepperdine Waves,G,5-8,Fr.,"Castle Rock, CO",FreeAgent,5.0,1.67,85.0,142.0,3.0,7.33,2.0,1.0,0.33,0.0,0.0,0.67,2.0,0.0,0.67,0.67,2.33,1.0,0.33,2.0,0.67,22.0,6.0,3.0,1.0,0.0,0.0,2.0,2.0,7.0,2.0,6.0,0.0,0.0,0.0,,quinn vansickle,https://daitadul56i2n.cloudfront.net/images/2025/9/26/11_quinn.jpg?width=80&quality=90
12,Shorna Preston,Pepperdine Waves,F,6-1,Jr.,"Christchurch, New Zealand",UserTeam3,369.0,30.75,3.0,5.0,12.0,23.67,10.08,9.5,2.17,1.25,1.75,0.92,2.58,1.5,2.58,3.83,7.83,26.0,2.17,88.0,7.33,284.0,121.0,114.0,26.0,15.0,21.0,31.0,46.0,94.0,11.0,31.0,18.0,21.0,1.75,Dodge City Community College,shorna preston,https://daitadul56i2n.cloudfront.net/images/2025/9/26/12_Shorna.jpg?width=80&quality=90
