Name,Jersey #,Team,Opponent,didWin,Date,MIN,OREB,DREB,REB,AST,STL,BLK,TO,PF,FGM,FGA,3PM,3PA,FTM,FTA,efg%,PTS,FantasyPts,isWCC,weeknum
Carly Heidger,#5,Loyola Marymount Lions,Southern Utah Thunderbirds,1,12/21/25,27,1,0,1,0,0,0,0,3,3,6,0,3,0,0,0.5,6,8.0,True,0.0
Kayla Jones,#24,Loyola Marymount Lions,Southern Utah Thunderbirds,1,12/21/25,10,1,0,1,2,1,0,1,0,3,3,0,0,0,0,1.0,6,21.0,True,0.0
Paula Reus Piza,#30,Loyola Marymount Lions,Southern Utah Thunderbirds,1,12/21/25,18,1,5,6,0,2,0,1,0,3,7,1,3,4,4,0.5,11,26.0,True,0.0
Jess Lawson,#0,Loyola Marymount Lions,Southern Utah Thunderbirds,1,12/21/25,26,2,5,7,2,0,0,1,3,3,6,0,0,11,12,0.5,17,36.0,True,0.0
Mari Somvichian,#2,Loyola Marymount Lions,Southern Utah Thunderbirds,1,12/21/25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,1.0,True,0.0
Andjela Matic,#28,Loyola Marymount Lions,Southern Utah Thunderbirds,1,12/21/25,31,0,3,3,7,0,0,2,1,3,7,1,3,3,3,0.5,10,33.0,True,0.0
Maya Hernandez,#55,Loyola Marymount Lions,Santa Clara Broncos,1,01/02/26,31,2,3,5,2,7,0,0,3,11,17,0,0,3,6,0.647,25,76.0,True,
Ivana Krajina,#13,Loyola Marymount Lions,Santa Clara Broncos,1,01/02/26,22,1,2,3,2,3,0,4,4,1,1,0,0,4,4,1.0,6,20.0,True,
Jess Lawson,#0,Loyola Marymount Lions,Santa Clara Broncos,1,01/02/26,31,4,3,7,2,1,0,2,3,5,18,0,2,11,11,0.278,21,34.0,True,
Andjela Matic,#28,Loyola Marymount Lions,Santa Clara Broncos,1,01/02/26,30,0,3,3,5,0,0,3,2,2,6,2,5,5,5,0.5,11,25.0,True,
Carly Heidger,#5,Loyola Marymount Lions,Santa Clara Broncos,1,01/02/26,23,3,2,5,0,1,0,2,0,3,7,0,0,0,0,0.429,6,12.0,True,
Kayla Jones,#24,Loyola Marymount Lions,Santa Clara Broncos,1,01/02/26,9,4,1,5,1,0,0,0,2,2,7,0,0,0,0,0.286,4,12.0,True,
Paula Reus Piza,#30,Loyola Marymount Lions,Santa Clara Broncos,1,01/02/26,17,1,3,4,2,1,0,1,1,5,6,1,2,2,2,0.917,13,36.0,True,
Zawadi Ogot,#54,Loyola Marymount Lions,Santa Clara Broncos,1,01/02/26,16,0,1,1,1,1,1,2,0,3,4,0,0,0,0,0.75,6,18.0,True,
Allison Clarke,#4,Loyola Marymount Lions,Santa Clara Broncos,1,01/02/26,21,0,0,0,1,1,0,2,2,0,5,0,5,0,0,0.0,0,-8.0,True,
