Name,Jersey #,Team,Opponent,didWin,Date,MIN,OREB,DREB,REB,AST,STL,BLK,TO,PF,FGM,FGA,3PM,3PA,FTM,FTA,efg%,PTS,FantasyPts,isWCC,weeknum
Eva Ruse,#15,San Diego Toreros,Bethesda University Flames,1,11/03/25,16,4,5,9,1,0,0,1,0,3,3,0,0,1,1,1.0,7,24,True,0
Dresha Moore,#1,San Diego Toreros,Bethesda University Flames,1,11/03/25,7,1,1,2,0,1,0,0,1,1,1,0,0,0,0,1.0,2,10,True,0
Ayla Williams,#22,San Diego Toreros,Bethesda University Flames,1,11/03/25,16,2,4,6,2,0,1,0,0,0,0,0,0,0,4,,0,12,True,0
Erica Carr,#12,San Diego Toreros,Bethesda University Flames,1,11/03/25,24,2,2,4,2,0,1,1,0,3,5,0,1,2,2,0.6,8,24,True,0
Jessica Ajayi,#4,San Diego Toreros,Bethesda University Flames,1,11/03/25,20,1,4,5,6,2,1,1,2,3,7,1,5,1,2,0.5,8,39,True,0
Ysabella Von Seipler,#0,San Diego Toreros,Bethesda University Flames,1,11/03/25,19,2,4,6,3,1,0,0,1,5,11,2,5,0,0,0.545,12,36,True,0
Lilly Amor,#3,San Diego Toreros,Bethesda University Flames,1,11/03/25,22,1,1,2,2,0,1,0,1,5,13,3,10,0,0,0.5,13,25,True,0
Jayden Rhodes,#19,San Diego Toreros,Bethesda University Flames,1,11/03/25,23,5,3,8,1,1,0,1,0,9,13,4,5,0,0,0.846,22,54,True,0
MilaSarai Tau,#33,Stanislaus State Warriors,Santa Clara Broncos,0,11/03/25,24,1,5,6,3,1,0,4,4,5,11,0,0,1,4,0.455,11,21,False,0
Eryn Gardner,#23,Stanislaus State Warriors,Santa Clara Broncos,0,11/03/25,27,3,4,7,0,1,1,5,1,2,8,0,0,2,2,0.25,6,6,False,0
Amya Vangkham-Griffin,#21,Stanislaus State Warriors,Santa Clara Broncos,0,11/03/25,13,0,0,0,1,0,0,0,2,0,2,0,0,2,2,0.0,2,4,False,0
Alyssa Premo,#13,Stanislaus State Warriors,Santa Clara Broncos,0,11/03/25,18,2,4,6,1,0,0,0,4,3,8,0,0,1,1,0.375,7,18,False,0
